board_id,board_title,board_content,board_time,,user_id,
17,미용하고 예뻐진 우리 뽀삐,귀여운 뽀삐 보고 다들 힐링하고 가세요~,2023.06.22 15:37,,pretty12,
18,화이트 포메라니안 분양합니다,"010-1324-5678
연락주세요",2023.06.22 15:43,,cool34,
,,,,,,
19,요즘 안과 어디가 잘 봐주시나요,지역은 광주입니다!,2023.06.22 15:45,,puppy56,
20,고양이 설사ㅠㅠ 유산균 추천해주세요,"최근에 중성화 수술을 했는데 구조하고 접종까지 다했는데 응가를 힘들게 봐요ㅠ 한번씩 설사하고ㅠ
유산균 괜찮은 거 있으면 알려주세요",2023.06.22 15:53,,butterfly7,
,,,,,,
21,내 개동생 돌잔치,이게 벌써 3년전이라니..,2023.06.22 15:57,,smart89,
22,강아지 분양 받을 때 뭘 확인해야하나요?,"강아지를 분양받고 싶어서 보고있는데
어떤 걸 꼼꼼하게 봐야할까요?",2023.06.22 16:19,,gildong10,
,,,,,,
23,고양이가 새벽에 토를 했어요,토 사진 첨부했습니다. 싫으신 분들은 뒤로가기 눌러주세요.,2023.06.22 16:35,,happy12,
24,원형 탈모 같이 털 빠지고 아토피 피부 같이 상처도 생김,다쳐서 그런걸까요? 피부병일까요?,2023.06.22 17:17,,gilsoon11,
